title,address,description,date,seller,price,image
1 bedroom flat for sale,"Maplin Park, Langley, SL3","Situated only a short distance from Langley village and train station, a spacious one bedroom top floor apartment with allocated parking and a lease which is currently being renewed by the vendor. The property is perfect as an investment opportunity or as a first time purchase, being located in ...",23/07/2019,"The Frost Partnership, Langley","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/5k/4670/72000658/4670_327678_IMG_05_0000_max_476x317.jpg
2 bedroom apartment for sale,"Centrika, Bath Road, Slough",This two bedroom third floor apartment offers thoughtfully designed internal accommodation and is offered for sale with no onward chain. The property is conveniently located right in the heart of the town centre and within walking distance of Slough Railway Station. The property comprises of (cont.),20/11/2019,"Staples & King, Cippenham","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7711/70976863/7711_STA1004839_IMG_01_0000_max_476x317.jpg
1 bedroom flat for sale,"Langley,Berkshire,SL3",A recently refurbished one bedroom ground floor apartment situated 0.6 miles from Langley train station. Benefits from no onwards chain.,19/11/2019,"Chancellors, Slough","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145253/85867835/145253_3230722_IMG_01_0000_max_476x317.jpg
1 bedroom flat for sale,"Burnham, Slough","Good Commuter Links - Are you looking for a property with commuter links then look no further. This property benefits from a spacious lounge/diner, allocated parking and is located within 0.8 miles of Burnham train station",10/12/2019,"haart, Maidenhead","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/12k/11579/75186658/11579_0278_HRT027808233_IMG_01_0002_max_476x317.jpg
2 bedroom flat for sale,"Slough,Berkshire,SL1","Purpose built ground floor flat with two bedrooms, bathroom, kitchen, communal gardens and garage. Ideal first time or investment purchase.",08/08/2019,"Chancellors, Slough","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145253/75460739/145253_2861898_IMG_11_0000_max_476x317.jpg
2 bedroom maisonette for sale,"60A Hampshire Avenue, Slough, SL1","FOR SALE BY PUBLIC AUCTION ON 25TH FEBRUARY 2020 AT 12:30PM.
Two bedroom ground floor purpose built maisonette, with private garden.
The property is currently let on an Assured Shorthold Tenancy Agreement generating £1,000 pcm and producing 6% yield based on this guide price.
The property w...",28/11/2019,"Town and Country Property Auctions , London","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175739/87001715/175739_tc_london_1800001_179_IMG_01_0000_max_476x317.jpg
1 bedroom flat for sale,"Walpole Road, Cippenham, Berkshire",**ATTENTION PROPERTY INVESTORS** WELL PRESENTED ONE BEDROOM PURPOSE BUILT FLAT SITUATED IN A POPULAR AREA OF CIPPENHAM** Within walking distance of Burnham Rail Station** Easy Access to M4 Motorway (Junction 7)** Excellent Transport Links** Plenty of Off Street Parking** Spacious reception room**...,22/03/2019,"Cameron King, Cippenham","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52364/60591039/52364_28591417_IMG_01_0000_max_476x317.jpg
1 bedroom flat for sale,"Centrika, Slough, SL1 ","This superb one bedroom 3rd floor apartment offered for sale in a modern block. Benefits include large open plan kitchen / diner, double bedroom and modern bathroom suite.",07/06/2019,"Mark Ashley & Company, Edgware","£199,950",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/14k/13661/62520378/13661_28808727_IMG_01_0000_max_476x317.jpg
2 bedroom bungalow for sale,Slough - Garage & Parking,"This TWO BEDROOM bungalow is in excess of 1000 SqFt of internal floor space with potential to create more space with a loft conversion. The property has much to offer with a recently refurbished bathroom and kitchen, large and bright lounge, two double bedrooms and a private enclosed garden space...",23/10/2019,"Glenn Flegg & Company, Langley","£300,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9217/82369427/9217_GFLSA_563578_IMG_03_0000_max_476x317.jpg
1 bedroom flat for sale,"High Street, Slough","INVESTMENT OPPORTUNITY - A surprisingly spacious one bedroom first floor apartment in Princes House. The apartment offers a large open plan living room with kitchen, stylish bathroom suite and bedroom. The kitchen itself benefits from integrated appliances, electric hob, high- and low-level stora...",15/11/2019,"Langhams Estate Agents, Slough","£199,950",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/26k/25200/75521749/25200_9051022_IMG_01_0000_max_476x317.jpg
